"team_api_id","team_name","build_up","chance_cr","defence","home_goals","away_goals","total_goals"
10000,"SV Zulte-Waregem",147,153,200,176,130,306
10001,"KVC Westerlo",148,167,210,124,93,217
10003,"Swansea City",135,210,210,135,98,233
10167,"Parma",152,176,166,151,121,272
10172,"Queens Park Rangers",141,210,210,60,55,115
10179,"FC Sion",155,177,146,220,151,371
10189,"FC Schalke 04",143,195,185,252,174,426
10190,"FC St. Gallen",146,157,155,153,123,276
10191,"FC Thun",152,166,145,175,104,279
10192,"BSC Young Boys",172,202,170,319,210,529
10194,"Stoke City",150,195,153,204,118,322
10199,"FC Luzern",165,175,153,239,182,421
10205,"Villarreal CF",126,161,165,218,146,364
10211,"SC Beira Mar",94,165,155,51,42,93
10212,"CS Marítimo",182,186,144,171,145,316
10214,"CD Nacional",167,165,156,187,145,332
10215,"Académica de Coimbra",150,172,151,136,104,240
10217,"ADO Den Haag",162,181,173,204,162,366
10218,"Excelsior",163,162,106,90,64,154
10219,"RKC Waalwijk",142,159,150,92,61,153
10228,"SC Heerenveen",150,171,183,267,203,470
10229,"AZ",154,185,184,279,213,492
10233,"Genoa",184,182,154,249,143,392
10235,"Feyenoord",154,165,160,291,198,489
10238,"Vitória Setúbal",149,165,140,135,103,238
10242,"ES Troyes AC",148,150,140,38,33,71
10243,"FC Zürich",157,165,163,241,227,468
10249,"Montpellier Hérault SC",162,160,210,193,151,344
10251,"Hibernian",148,200,200,136,123,259
10252,"Aston Villa",170,185,145,179,156,335
10260,"Manchester United",134,200,163,338,244,582
10261,"Newcastle United",152,195,161,199,125,324
10264,"SC Braga",145,166,150,239,159,398
10265,"Wisla Kraków",135,183,205,168,164,332
10267,"Valencia CF",116,185,175,299,185,484
10268,"Elche CF",171,165,158,32,33,65
10269,"VfB Stuttgart",168,200,175,219,196,415
10278,"Hércules Club de Fútbol",154,178,160,27,9,36
10281,"Real Valladolid",153,172,161,94,76,170
108893,"AC Arles-Avignon",156,141,158,14,7,21
158085,"FC Arouca",174,160,113,56,45,101
1601,"Ruch Chorzów",139,186,175,148,132,280
1773,"Oud-Heverlee Leuven",153,157,137,74,52,126
1957,"Jagiellonia Bialystok",158,163,210,176,111,287
2033,"S.C. Olhanense",147,165,155,70,68,138
208931,"Carpi",190,160,141,23,14,37
2182,"Lech Poznan",176,196,160,215,157,372
2183,"P. Warszawa",80,180,175,96,88,184
2186,"Cracovia",125,168,205,144,91,235
